2,1,0,87,0,1,7
2,1,0,58,0,1,7
7,1,1,75,0,1,7
6,1,0,74,0,1,7
3,1,0,64,0,1,7
5,1,1,93,0,1,7
4,1,0,82,0,1,7
4,1,0,55,1,2,7
3,1,1,86,0,1,7
3,1,0,23,1,1,2
3,1,1,79,0,1,7
2,1,0,86,0,1,7
4,1,1,85,0,1,7
3,1,1,84,0,1,7
3,1,1,66,0,1,7
4,1,1,70,0,3,7
6,1,1,92,0,1,7
5,1,1,82,0,4,7
1,1,0,83,0,1,7
3,1,1,84,0,2,7
3,1,0,80,0,3,7
8,1,0,66,0,1,7
3,1,1,73,0,1,7
7,1,1,51,0,1,7
4,1,0,20,1,1,2
7,1,0,45,0,1,2
7,1,0,71,0,4,7
3,1,1,46,0,3,7
2,1,0,78,0,1,7
2,1,0,72,0,1,7
3,1,1,60,0,1,1
3,1,0,47,1,1,7
3,1,0,34,0,3,2
3,1,1,49,0,4,7
7,1,1,49,0,3,7
4,1,1,58,0,4,7
3,1,0,67,0,1,7
3,1,0,74,0,1,7
3,1,1,87,0,1,7
1,1,0,87,0,3,7
2,1,0,23,1,3,2
6,1,0,47,0,1,7
1,1,1,64,0,4,7
4,1,1,84,0,1,7
3,1,0,76,0,2,7
3,1,1,80,0,1,7
5,1,0,66,0,1,7
1,1,0,58,1,1,7
2,1,1,32,0,1,7
3,1,0,69,0,1,7
4,1,0,69,0,1,7
4,1,0,83,0,1,7
2,1,0,44,0,3,7
3,1,0,79,0,1,7
3,1,0,59,0,1,7
3,1,1,92,0,1,7
4,1,1,81,0,1,7
2,1,0,88,0,3,7
1,1,1,80,0,3,7
1,1,0,90,0,3,7
3,1,1,72,0,1,7
3,1,1,76,0,3,7
3,1,1,80,0,1,7
3,1,0,68,1,1,7
8,1,0,85,0,1,7
1,1,1,78,0,3,7
6,1,0,64,0,4,7
3,1,0,45,0,1,7
9,1,0,67,1,1,7
9,1,0,44,1,3,7
3,1,0,81,0,1,7
2,1,1,22,1,3,2
5,1,1,61,0,4,7
4,1,1,52,0,1,7
3,1,0,92,0,3,7
3,1,0,53,1,1,1
3,1,1,29,0,4,1
6,1,1,81,0,1,7
6,1,0,70,0,1,7
3,1,0,57,0,1,1
5,1,0,93,0,1,7
1,1,1,77,0,3,7
2,1,0,73,0,3,1
1,1,0,83,0,3,7
3,1,1,38,0,1,1
2,1,1,97,0,1,7
3,1,0,50,1,3,7
6,1,0,85,0,1,7
3,1,1,85,0,1,7
7,1,0,64,0,1,7
6,1,1,59,0,3,7
3,1,1,66,0,1,7
3,1,0,19,1,3,2
4,1,0,30,1,3,7
7,1,1,63,0,1,7
3,1,0,29,0,1,1
4,1,0,22,1,1,2
6,1,1,56,0,1,7
5,1,1,65,0,1,5
4,1,1,89,0,1,7
3,1,0,90,0,1,7
6,1,1,68,0,4,7
3,1,0,64,0,1,7
3,1,1,94,0,1,7
3,1,0,55,0,4,1
3,1,0,53,0,1,7
6,1,0,64,0,1,7
3,1,0,70,0,1,7
3,1,0,46,0,3,7
3,1,0,55,0,3,7
3,1,0,80,0,2,7
7,1,1,69,0,2,7
3,1,1,78,0,3,7
3,1,0,75,0,1,7
3,1,1,67,0,3,7
6,1,0,83,0,1,7
3,1,0,76,0,1,7
3,1,0,83,0,1,7
3,1,1,41,0,1,7
3,1,1,95,0,1,7
4,1,1,52,0,1,7
2,1,1,63,0,1,7
5,1,1,81,0,2,7
2,1,1,26,1,3,2
3,1,0,47,0,1,1
1,1,0,91,0,3,7
3,1,0,54,1,1,7
3,1,1,82,0,1,7
9,1,0,57,1,3,1
2,1,0,76,0,1,7
3,1,0,21,1,2,2
3,1,0,33,0,1,1
6,1,0,93,0,1,7
3,1,1,82,0,1,7
1,1,1,82,0,4,7
6,1,0,58,0,1,7
3,1,0,49,1,1,7
3,1,0,24,1,2,7
7,1,0,69,0,1,7
4,1,1,58,0,3,7
3,1,0,76,0,1,7
6,1,1,90,0,1,7
1,1,1,89,0,1,7
8,1,0,49,0,1,7
1,1,1,74,0,3,7
3,1,0,30,1,1,7
5,1,0,62,0,1,7
3,1,1,82,0,3,7
6,1,1,50,0,1,7
8,1,1,82,0,1,7
7,1,0,88,0,1,7
3,1,1,65,0,3,7
5,1,0,69,0,1,7
3,1,0,51,1,1,7
3,1,0,70,1,3,7
8,1,0,73,0,1,7
3,1,1,51,0,1,7
4,1,0,82,0,1,7
3,1,1,94,0,1,7
6,1,1,60,0,1,7
3,1,1,79,0,1,7
